custom_pub_id,longitude,latitude
3b0f222aea7850abe23353174bc1b03a,-4.258906,50.55234
46e13414918d06dc32a89947c7177a29,-2.1576161,53.410923
2f28eb1a224644f2d04728f6afcef8e4,-2.5199003,53.54855
762498f3866a06d259f380e73c75dd06,-0.9274699,51.021465
e7a8704ace43c195a9772535f8bca219,-4.109308,51.20639
36951be459987cd03e928ed5ef8b9f3c,-2.4057763,53.781567
efed63d169da8b3f770e91a8d3ae1b83,-2.7013924,53.759846
e8beb96e96c0e857eb5cb2c11bab7c51,-4.1080904,50.643196
55b84a481294c2e2756f819682bdbee2,-4.272791,55.872643
8e8f1424072e6b1ccabd51825cfc0ba7,-2.9781764,53.40573
4c0e341903275ce70f1f5a6d9256adaa,-6.1438255,54.19565
079c6c8c7339da943c3837b9f213673c,-2.9790466,53.406685
ff0ffa00e1fd465fa7a1462cd6f84ab9,-3.895263,50.297684
251c8b1e892d760d8d5dce94965f8671,-2.9600267,53.536407
48c0c984aa32584a01efb1ae9a889f51,-2.0209842,55.36322
9ff8c2b6e61a58e9891f35ff56dbdaf2,-1.1492867,52.98915
ab2e7deabc5e51f8fae2608acd3166ca,-1.3256505,51.62271
48418c7f6c32ba190a8dec9e5aa18059,28.126898,-26.005053
983b074b8d5d942f2cae1665126c81d2,-3.0905316,52.899246
3537e398429e8300781b4cfb074180fc,-2.7517989,52.707993
09af6a85f40ed930d044197008d69653,-1.1526078,52.94933
9c0b5fd0837e57d184dee336370f9b44,-1.1378099,52.998432
049182a3763bcdb2574dbbcd54fd201b,-1.8863057,52.47374
b1a689d1e0d669a3177dcfb3ccda1270,-2.814226,51.036156
89dda943f4cce673c4386a8c9a7ae042,1.0209869,51.978157
642e791d5cdde3883ebfbb0b698bf9b8,-1.38857,54.90641
9b7fe395ad9854d429ccdb69396e01b0,1.1721069,52.044674
c1451bcee7b91fea9bf2fe7ae4d75eae,-1.4032533,54.90647
3656606517c70e3ce004a696ba18c9f9,-0.1371941,50.824318
1431720121a0b9ca16714be85c1c6275,0.1828609,50.995663
